,Product URL,Product Name,Product Price,Rating,Number of reviews
32,https://www.amazon.in/SIDRUM-Shoulder-Adjustable-Compatible-Mirrorless/dp/B09P74TZY8/ref=sr_1_32?crid=2M096C61O4MLT&keywords=bags&qid=1679321155&sprefix=ba%2Caps%2C283&sr=8-32,"SIDRUM WF-18 DSLR/SLR Camera Shoulder Bag Case with Adjustable Shoulder Strap & Rain Cover, Compatible for Nikon, Canon, Sony Mirrorless Cameras - Waterproof - Breathable - Anti Shock (Orange-Black)",664,4.4,(911)
33,https://www.amazon.in/Safari-Laptop-Backpack-Resistant-Fabric/dp/B09B28TKLG/ref=sr_1_33?crid=2M096C61O4MLT&keywords=bags&qid=1679321155&sprefix=ba%2Caps%2C283&sr=8-33,"Safari Quill Laptop Backpack 26 Ltrs Water Resistant Fabric - Blue, L (QUILL19CBBLU)",799,4.1,(493)
34,https://www.amazon.in/F-Gear-Luxur-Brown-Backpack/dp/B01F7AX9ZA/ref=sr_1_34?crid=2M096C61O4MLT&keywords=bags&qid=1679321155&sprefix=ba%2Caps%2C283&sr=8-34,F Gear Luxur Brown 25 liter Laptop Backpack (2404),"1,032",4.4,"(16,462)"
35,https://www.amazon.in/Gear-Vintage2-Leather-Backpack-LBPVG2LTH1901/dp/B07G4F3758/ref=sr_1_35?crid=2M096C61O4MLT&keywords=bags&qid=1679321155&sprefix=ba%2Caps%2C283&sr=8-35,Gear Vintage2 Anti Theft Faux Leather 18 cms Tan Laptop Backpack,"1,075",4.3,"(1,460)"
36,https://www.amazon.in/Dell-Pro-Slim-Backpack-15/dp/B07PMQTB6T/ref=sr_1_36?crid=2M096C61O4MLT&keywords=bags&qid=1679321155&sprefix=ba%2Caps%2C283&sr=8-36,"Dell Pro Slim Backpack 15 - PO1520PS - Fits Most laptops up to 38.1 cm (15 inches, Black)","1,599",4.3,(397)
37,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo0MTc5ODM3OTIyNjE0MjY1OjE2NzkzMjExNTU6c3BfYnRmOjIwMTA4NDc1MDc0Njk4OjowOjo&url=%2Fuppercase-Professional-Backpack-resistant-sustainable%2Fdp%2FB0BRMWDNZ7%2Fref%3Dsr_1_37_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1679321155%26sprefix%3Dba%252Caps%252C283%26sr%3D8-37-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1,"uppercase 26 Ltrs Ryder Professional Laptop Backpack (15.6 Inch) 3x more water resistant sustainable bags with rain proof zippers for Men, Women, Boys and Girls, 750 Days warranty","2,400",4.7,(19)
38,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo1ODUzNTAzODIyNjE3NTA6MTY3OTMyMTYwODpzcF9hdGZfbmV4dDoyMDEwMDg1NTA5ODU5ODo6MDo6&url=%2FFur-Jaden-resistant-Backpack-BM100_Brown%2Fdp%2FB07P5X6NSN%2Fref%3Dsr_1_33_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1679321608%26sprefix%3Dba%252Caps%252C283%26sr%3D8-33-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1,FUR JADEN Vegan Leather 30L 15.6 Inch Laptop Backpack for Men Women for Office Professionals and College Students,889,4.2,"(2,237)"
39,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo1ODUzNTAzODIyNjE3NTA6MTY3OTMyMTYwODpzcF9hdGZfbmV4dDoyMDExMzc4ODE3NTE5ODo6MDo6&url=%2FHEROZ-Backpack-Resistant-Durable-Notebook%2Fdp%2FB08BYQZYYC%2Fref%3Dsr_1_34_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1679321608%26sprefix%3Dba%252Caps%252C283%26sr%3D8-34-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1,HEROZ Hammer Unisex Nylon 45 L Travel Laptop Backpack Water Resistant Slim Durable Fits Up to 17.3 Inch Laptop Notebook (All) (Navy Blue & Sky Blue),"1,349",4.3,"(7,730)"
40,https://www.amazon.in/Tabelito-Laptop-Backpack-15-6-inch-Repellent/dp/B08Y5S6C2P/ref=sr_1_35?crid=2M096C61O4MLT&keywords=bags&qid=1679321608&sprefix=ba%2Caps%2C283&sr=8-35,"Tabelito® Casual Laptop Bag 15.6inch (39.6 cm) , 25 LTR Office College School Bags Business Travel Backpack for Men Women Water Resistant Bags(BLACK)",549,4.2,"(1,597)"
41,https://www.amazon.in/Nivia-5183-Polyester-Duffle-Medium/dp/B071KNXQ7Y/ref=sr_1_37?crid=2M096C61O4MLT&keywords=bags&qid=1679321608&sprefix=ba%2Caps%2C283&sr=8-37,NIVIA Beast Gym Bag-4 Polyester/Unisex Gym Bags/Shoulder Bag for Men & Women with Separate Shoes Compartment/Carry Gym Accessories/Fitness Bag/Sports & Travel Bag/Sports Kit,528,4.2,"(3,761)"
42,https://www.amazon.in/Wesley-Milestone-Waterproof-Backpack-Business/dp/B07PLKV6D1/ref=sr_1_38?crid=2M096C61O4MLT&keywords=bags&qid=1679321608&sprefix=ba%2Caps%2C283&sr=8-38,Wesley Milestone 15.6 inch 25 L Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Unisex Travel Backpack,473,4.3,"(12,341)"
43,https://www.amazon.in/AUXTER-BLACKY-Duffel-Emboss-Black/dp/B07F2H25NP/ref=sr_1_39?crid=2M096C61O4MLT&keywords=bags&qid=1679321608&sprefix=ba%2Caps%2C283&sr=8-39,AUXTER Faux Leather 23 Cms Duffle Bag(AUX_GB_LE_Black -SE_0521_Black),376,4.3,"(8,906)"
44,https://www.amazon.in/Girls-1522-Polyester-Designer-Waterproof-Bag-Backpack/dp/B08F9SFYXQ/ref=sr_1_40?crid=2M096C61O4MLT&keywords=bags&qid=1679321608&sprefix=ba%2Caps%2C283&sr=8-40,BEAUTY GIRLS BY HOTSHOT 1522|School Bag|Tuition Bag|College Backpack|ForGirls&Women|Waterproof Bag,714,4.1,"(1,027)"
45,https://www.amazon.in/BennettTM-Mystic-Shoulder-Messenger-Repellent/dp/B09321GJXZ/ref=sr_1_41?crid=2M096C61O4MLT&keywords=bags&qid=1679321608&sprefix=ba%2Caps%2C283&sr=8-41,Bennett™ Mystic 15.6 inch (39.6cm) Laptop Briefcase Shoulder Sling Office Business Professional Travel Messenger Bag for Men and Women Water Repellent Formal Executive Bags (Grey) 6 Months Warranty,512,4.1,"(5,211)"
46,https://www.amazon.in/Genie-Flamenco2-Backpack-Compatible-Resistant/dp/B08YF1XJXY/ref=sr_1_42?crid=2M096C61O4MLT&keywords=bags&qid=1679321608&sprefix=ba%2Caps%2C283&sr=8-42,"Genie Flamenco Laptop Backpack for Women, 16 inches Office Bag, Sky Blue Stylish and Trendy Bag for Office and College",640,4.4,"(1,025)"
